timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1628167040048, 0.004331, -0.001249, 0.001876, -0.032764, -0.00486, 0.005477, 1
1628167040147, 0.00027, -0.00559, -0.00319, 0.014786, 0.008222, 0.008481, 1
1628167040247, -0.014132, -0.005486, -0.01028, -0.020555, 0.03231, -0.024889, 1
1628167040347, -0.139836, -0.09991, -0.145506, -0.215377, 0.803962, -0.377374, 1
1628167040447, -0.338415, 0.110553, -0.28631, -0.524245, 2.444369, 0.04101, 1
1628167040546, -0.001493, -0.000549, -0.235654, -0.49094, 2.677718, 0.485142, 1
1628167040646, 0.204522, -0.715734, 0.326496, 1.855304, 1.995336, -1.420233, 1
1628167040746, 0.130132, -0.242961, 0.341509, -1.529677, 0.826466, -2.699523, 1
1628167040846, -0.255832, -0.014731, 0.426043, -2.680661, 0.318509, -3.453853, 1
1628167040945, -0.456891, 0.123862, 0.425893, -3.920325, -0.193094, -2.415881, 1
1628167041045, -0.162628, 0.260518, 0.052358, -0.266861, -0.270909, -0.950388, 1
1628167041145, -0.046287, 0.042191, -0.013758, 0.478635, -0.362509, -0.507338, 1
1628167041244, -0.057463, 0.032034, -0.123564, -1.421085, 0.031434, -0.397021, 1
1628167041344, -0.188062, -0.101437, 0.008532, -0.169723, -0.041307, 0.640896, 1
1628167041444, -0.244051, 0.313582, -0.017519, 0.483136, -0.266876, 2.532611, 1
1628167041544, -0.198043, 0.128988, 0.031357, -0.108009, -0.306889, 3.004952, 1
1628167041643, -0.138231, -0.085866, 0.098029, -0.73639, -0.43383, 2.655279, 1
1628167041743, -0.077093, -0.128114, 0.039905, -0.911935, -0.444731, 2.01991, 1
1628167041843, 0.003727, -0.044725, -0.011509, -0.228047, -0.265238, 1.694518, 1
1628167041943, 0.053193, -0.020667, -0.151937, 0.491381, -0.056137, 1.354494, 1
1628167042042, 0.064563, -0.069747, -0.166193, 0.477871, -0.045169, 1.147943, 1
1628167042142, 0.013412, -0.084692, -0.077996, 0.191475, -0.023319, 0.959461, 1
1628167042242, -0.034376, -0.056029, 0.028745, 0.360489, -0.046825, 0.691528, 1
1628167042342, -0.019664, -0.038325, 0.039315, 0.283731, -0.008598, 0.352719, 1
1628167042441, -0.014838, -0.048851, 0.027096, 0.137152, 0.040868, 0.185929, 1
1628167042541, -0.005496, -0.0146, 0.000154, 0.14947, 0.073447, 0.155117, 1
1628167042641, -0.001124, 0.018299, 0.001637, 0.146625, 0.055056, 0.126073, 1
1628167042741, 0.005351, 0.042438, -0.002065, 0.101827, 0.043861, 0.127357, 1
1628167042840, 0.012595, 0.019167, 0.006064, 0.053425, 0.029691, 0.094022, 1
1628167042940, 0.006301, 0.021691, 0.006209, 0.04741, 0.027187, 0.068624, 1
1628167043040, 0.001639, -0.003298, 0.030185, -0.019222, 0.020235, 0.066395, 1
1628167043140, 0.002493, 0.000484, 0.006088, 0.02613, 0.044215, 0.039935, 1
1628167043239, 0.003671, -0.02236, -0.00081, 0.032779, 0.035723, 0.038542, 1
1628167043339, 0.002909, -0.002082, -0.001629, 0.049026, 0.0149, 0.022599, 1
1628167043439, 0.001731, 0.002071, 0.008605, 0.05974, 0.00835, 0.021412, 1
1628167043539, 0.003564, -0.00309, 0.002715, 0.019623, 0.008916, -0.002521, 1
1628167043638, 0.000514, 0.000853, 0.000719, 0.039517, 0.026968, 0.032796, 1
1628167043738, 0.006902, -0.015366, 0.00543, 0.003972, 0.018405, 0.025188, 1
