timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1619774457556, -0.000754, -0.017851, 0.00308, -0.050493, -0.009445, 0.002096, 0
1619774457656, -0.007285, -0.012395, 0.021987, -0.064861, 0.002533, 0.021907, 0
1619774457756, -0.008219, -0.000609, 0.009266, -0.03441, 0.016362, -0.003217, 0
1619774457855, -0.00533, 0.00066, -0.008831, -0.048289, -0.019, -0.006258, 0
1619774457955, 0.133277, -0.12463, -0.250698, 0.235499, -0.495787, 0.451984, 0
1619774458055, 0.447914, -0.109953, -0.023104, -1.067474, -0.810761, 1.388172, 0
1619774458154, 0.268019, 0.035247, 0.189205, -1.986921, -0.731634, 2.482988, 0
1619774458254, -0.073233, -0.212997, 0.250415, -1.204407, -1.727389, 2.975117, 0
1619774458354, -0.235854, -0.072069, 0.129683, -2.138836, -2.183649, 2.05174, 0
1619774458454, -0.25441, 0.16997, -0.087923, -1.028688, -0.7516, 1.671892, 0
1619774458553, -0.042052, 0.103778, 0.035223, -1.410301, -0.209976, 0.623924, 0
1619774458653, 0.196767, 0.208731, -0.146488, 0.310472, 0.027049, 0.401807, 0
1619774458753, 0.014181, 0.155113, -0.143952, 0.532536, 0.182701, 0.267612, 0
1619774458852, -0.006766, -0.069627, 0.020908, -0.46965, 0.195152, -0.082433, 0
1619774458952, 0.035887, -0.01392, -0.02086, -0.359553, 0.318295, -0.075069, 0
1619774459052, 0.006338, 0.029757, -0.009755, 0.641014, 0.142338, -0.25445, 0
1619774459151, 0.023764, -0.016442, -0.050389, 0.212095, -0.034562, -0.287361, 0
1619774459251, 0.016334, 0.166253, 0.00585, 0.004226, -0.172198, -0.822178, 0
1619774459351, -0.046085, 0.169454, -0.010725, 0.07966, -0.285627, -1.350234, 0
1619774459450, -0.036955, 0.027943, 0.111371, -0.10786, 0.249268, -1.603121, 0
1619774459550, 0.064196, -0.026062, 0.017993, -1.15874, 0.640014, -1.655969, 0
1619774459650, 0.034202, -0.095523, 0.01638, -1.663945, 1.050507, -1.320652, 0
1619774459750, 0.02684, -0.058215, -0.006593, -0.665097, 1.135884, -0.927657, 0
1619774459849, 0.061477, -0.037307, -0.034044, -0.187808, 0.809406, -0.6514, 0
1619774459949, 0.109307, 0.126521, -0.065818, 0.298244, 0.447745, -0.237831, 0
1619774460049, 0.081294, 0.048986, -0.034217, 0.221014, 0.065504, -0.237262, 0
1619774460148, 0.043404, 0.052065, -0.031206, 0.365906, -0.000722, -0.127027, 0
1619774460248, -0.027052, 0.069599, -0.030472, 0.242649, -0.120135, -0.267357, 0
1619774460348, 0.036975, 0.0042, -0.010387, 0.455811, -0.207274, -0.134648, 0
1619774460447, -0.001883, -0.010171, 0.01859, 0.461817, -0.253125, -0.110214, 0
1619774460547, 0.000299, 0.003319, 0.032236, 0.662362, -0.275411, -0.143476, 0
1619774460647, 0.000055, -0.017049, -0.00297, 0.575236, -0.287349, -0.128734, 0
1619774460747, -0.013375, 0.003499, -0.001656, 0.522185, -0.256306, -0.099002, 0
1619774460846, -0.024064, -0.035164, 0.037838, 0.352104, -0.181916, -0.105483, 0
1619774460946, -0.003701, -0.018049, -0.002337, 0.368733, -0.115683, -0.090841, 0
1619774461046, 0.007915, -0.029776, 0.012752, 0.156837, -0.101606, -0.07223, 0
1619774461145, -0.007304, -0.020944, -0.003531, 0.120488, -0.093663, -0.025768, 0
1619774461245, -0.022235, 0.002282, -0.008923, 0.065125, -0.064837, -0.043457, 0
1619774461345, 0.008011, -0.03925, 0.005809, 0.020925, -0.07957, -0.018677, 0
1619774461444, -0.006023, -0.014221, 0.004909, 0.012061, -0.046063, -0.017254, 0
1619774461544, -0.000582, -0.027908, -0.009128, 0.011686, -0.054652, -0.001024, 0
1619774461644, -0.003376, -0.009727, 0.01233, 0.013801, -0.048429, -0.017468, 0
1619774461743, -0.006423, -0.021082, 0.008893, 0.018635, -0.020558, -0.005535, 0
1619774461843, 0.004295, -0.020818, -0.005467, 0.011155, -0.027527, -0.009014, 0
1619774461943, -0.004237, -0.009872, 0.002661, -0.018601, -0.035543, -0.004947, 0
1619774462043, -0.006578, -0.005359, 0.005199, 0.023248, -0.022189, -0.024889, 0
1619774462142, 0.005654, -0.005245, 0.018146, 0.023554, -0.010177, -0.015632, 0
1619774462242, -0.000176, -0.017186, 0.023268, 0.008895, 0.001709, -0.002742, 0
1619774462342, 0.004791, -0.003508, -0.006294, -0.012525, -0.016056, 0.002437, 0
1619774462441, -0.002861, 0.000781, -0.004717, 0.01966, -0.026155, -0.00302, 0
1619774462541, -0.009383, -0.014021, 0.005651, 0.016434, -0.002684, -0.013847, 0
1619774462641, -0.002265, -0.007606, 0.013664, -0.00161, 0.012703, -0.001651, 0
1619774462740, 0.005536, -0.013223, -0.002538, -0.01363, -0.01706, 0.02812, 0
1619774462840, -0.000865, -0.008548, 0.006579, -0.013574, -0.016463, 0.002823, 0
1619774462940, 0.002256, -0.004099, 0.005818, 0.012222, -0.000118, -0.00999, 0
1619774463040, -0.005349, 0.011673, 0.007123, 0.026648, -0.013865, -0.019523, 0
1619774463139, 0.006166, -0.012328, -0.01377, 0.010491, -0.032993, -0.016602, 0
1619774463239, -0.00064, -0.003123, -0.004742, 0.008185, -0.025339, -0.021015, 0
1619774463339, -0.011389, -0.005712, 0.014519, -0.007652, -0.010785, -0.010833, 0
1619774463438, 0.001988, -0.005447, 0.00701, 0.005064, -0.014748, 0.014918, 0
1619774463538, 0.007237, -0.009728, -0.009165, 0.013331, -0.010517, 0.019612, 0
1619774463638, -0.000319, -0.025188, -0.019189, 0.010455, -0.033398, 0.02157, 0
1619774463737, -0.000535, 0.000075, -0.009963, -0.003875, -0.026689, 0.005027, 0
1619774463837, 0.003537, -0.001916, 0.000407, 0.009277, -0.009441, 0.004688, 0
1619774463937, 0.005488, -0.010104, 0.001978, -0.00229, -0.003843, -0.000767, 0
1619774464036, 0.004306, -0.007938, -0.000598, -0.027941, -0.001109, 0.015976, 0
1619774464136, 0.002162, -0.006313, -0.012172, -0.015734, -0.022879, 0.011879, 0
1619774464236, -0.004671, 0.005523, 0.005936, 0.005414, -0.000694, 0.012788, 0
1619774464336, -0.001593, 0.00983, 0.006447, -0.009334, 0.016282, 0.001335, 0
1619774464435, 0.005442, -0.000191, -0.006668, -0.016834, 0.001428, 0.011311, 0
1619774464535, 0.004769, 0.000374, 0.003257, -0.072801, 0.000441, 0.018361, 0
1619774464635, -0.00053, -0.015104, -0.005724, -0.110111, -0.01149, 0.023329, 0
1619774464734, 0.002182, 0.007134, -0.010078, -0.173782, -0.014507, 0.043146, 0
1619774464834, 0.010651, -0.029029, -0.004111, -0.202789, 0.021723, 0.10093, 0
1619774464934, 0.033833, 0.012428, -0.016658, -0.052295, 0.056707, 0.282643, 0
1619774465033, 0.084502, -0.000917, -0.047479, -0.123087, 0.082544, 0.686431, 0
1619774465133, 0.086168, 0.006934, -0.036015, -0.529675, -0.41638, 1.247601, 0
1619774465233, 0.029397, -0.037523, -0.010624, 0.024244, -0.516436, 1.407522, 0
1619774465333, -0.004505, 0.000055, -0.02073, 0.794564, -0.538957, 1.404252, 0
