timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1616577704131, 0.008429, -0.009561, -0.000461, 0.004757, 0.010415, 0.012827, 1
1616577704231, -0.000926, 0.000847, 0.000218, 0.022591, 0.010816, 0.024982, 1
1616577704332, -0.000779, -0.001893, -0.0016, 0.032671, 0.003711, 0.006178, 1
1616577704432, 0.019556, -0.034604, -0.021337, 0.034705, -0.012573, 0.062999, 1
1616577704533, -0.017694, 0.06038, -0.015691, 0.236661, -0.05914, -0.144208, 1
1616577704633, 0.055333, 0.124699, -0.029692, 1.27293, -0.287887, -0.504578, 1
1616577704734, 0.073856, -0.012227, 0.050625, 6.779359, 0.291576, 0.310043, 1
1616577704834, -0.092891, -0.325348, 0.056503, 3.759458, -0.143695, 1.141672, 1
1616577704935, -0.094796, 0.020298, 0.115159, 1.689749, -0.165075, 0.789332, 1
1616577705035, -0.074363, 0.070611, -0.055507, 0.336895, -0.008443, 0.192982, 1
1616577705136, 0.026488, -0.020617, -0.159505, -0.161285, -0.458004, -0.008497, 1
1616577705236, -0.01427, 0.152203, -0.072563, 0.107002, -0.03613, -0.302433, 1
1616577705337, 0.033836, -0.035658, -0.081168, 0.286192, 0.204331, -0.44402, 1
1616577705437, 0.023423, 0.037607, 0.080595, 0.908547, 0.345883, -0.070214, 1
1616577705538, 0.006939, -0.342265, -0.015841, -0.418668, -0.166026, 0.98572, 1
1616577705638, 0.029083, -0.177285, 0.025566, -0.529917, -0.114833, 1.828728, 1
1616577705739, 0.08086, 0.019303, -0.017686, -0.763352, 0.17867, 1.791792, 1
1616577705839, 0.087429, 0.071273, -0.024308, -0.538492, 0.207377, 1.472709, 1
1616577705940, 0.07292, 0.045004, 0.017974, -0.901138, 0.19612, 1.0305, 1
1616577706040, 0.04577, 0.107008, 0.021264, -0.566681, 0.146309, 0.829647, 1
1616577706141, 0.037353, 0.053992, 0.032103, -0.821494, 0.09379, 0.469897, 1
1616577706241, -0.003266, 0.036547, 0.014919, -0.485744, 0.057339, 0.256812, 1
1616577706342, -0.003813, 0.00017, 0.027646, -0.634026, -0.03217, 0.149517, 1
1616577706442, -0.01195, 0.012069, 0.013869, -0.571551, -0.084517, 0.134491, 1
1616577706543, 0.011552, 0.019746, 0.027566, -0.482871, -0.054271, 0.068946, 1
1616577706643, -0.006313, -0.012275, -0.009178, -0.377582, 0.029647, 0.103433, 1
1616577706744, 0.009561, -0.095494, -0.012372, -0.357573, 0.047828, 0.09225, 1
1616577706844, -0.008527, -0.026977, -0.00301, -0.142195, 0.048135, 0.059633, 1
1616577706945, -0.001281, 0.026549, -0.01647, -0.208666, 0.017079, 0.050882, 1
1616577707045, -0.008388, 0.051528, -0.005103, -0.242214, 0.025, 0.052026, 1
1616577707146, 0.01296, -0.012658, -0.017254, -0.279812, 0.004883, 0.053936, 1
1616577707246, 0.002811, -0.032488, -0.004382, -0.130295, -0.001935, 0.111646, 1
1616577707347, 0.011069, -0.008208, 0.012738, -0.079029, 0.058562, 0.06193, 1
1616577707447, 0.010119, 0.014943, -0.00268, -0.044376, 0.009681, 0.015445, 1
1616577707548, 0.005138, 0.00086, -0.004456, -0.059305, -0.005231, 0.005447, 1
1616577707648, 0.010787, 0.001834, -0.00804, -0.04498, -0.009308, -0.017049, 1
1616577707748, -0.013013, 0.0205, 0.004454, -0.022712, 0.014949, -0.017031, 1
1616577707849, 0.002493, 0.022723, 0.012325, -0.038616, -0.005962, -0.001708, 1
1616577707949, -0.000835, 0.009829, 0.013535, 0.017935, -0.00686, -0.00547, 1
1616577708050, 0.004651, 0.021157, -0.001028, 0.029284, -0.00659, -0.025765, 1
1616577708150, -0.002391, -0.009997, 0.012983, -0.004501, 0.01874, 0.001337, 1
1616577708251, -0.006007, -0.011287, -0.009667, 0.038644, 0.007689, 0.008953, 1
1616577708351, 0.013549, 0.0256, 0.008932, -0.011527, 0.003485, 0.004537, 1
1616577708452, 0.009084, -0.001141, -0.032171, 0.028216, -0.002267, -0.013295, 1
1616577708552, -0.007608, 0.014079, -0.010122, -0.05624, -0.024327, 0.011047, 1
1616577708653, 0.00799, -0.007994, -0.015081, -0.026669, 0.01398, 0.033551, 1
1616577708753, 0.006458, -0.019348, 0.007452, -0.04805, 0.042644, 0.032071, 1
1616577708854, 0.009093, -0.001289, 0.0001, -0.033381, 0.037137, 0.029513, 1
1616577708954, -0.000518, -0.037546, 0.010164, -0.080055, 0.017951, 0.040643, 1
1616577709055, -0.000149, -0.000291, 0.014095, -0.050601, 0.005071, 0.011025, 1
1616577709155, 0.010423, 0.008093, 0.005104, -0.045814, 0.005616, -0.001889, 1
1616577709256, -0.01411, 0.014621, 0.009136, -0.029737, -0.005452, 0.020256, 1
1616577709356, 0.007523, 0.029639, 0.00183, -0.028909, 0.001641, -0.002089, 1
1616577709457, 0.000911, 0.001108, -0.009367, -0.035716, 0.021782, -0.004936, 1
1616577709557, -0.005057, 0.002186, -0.008284, -0.044071, 0.017283, 0.011643, 1
1616577709658, 0.005852, 0.008833, 0.011039, -0.053361, 0.015072, 0.029641, 1
1616577709758, -0.004917, 0.005426, -0.013944, 0.012864, 0.030757, 0.002906, 1
1616577709859, 0.008814, 0.015503, -0.0138, 0.002174, 0.006343, -0.012283, 1
1616577709959, 0.01104, 0.023478, 0.002159, 0.10352, 0.035141, -0.000584, 1
1616577710060, -0.001969, 0.006205, -0.024286, -0.06722, -0.017412, 0.037995, 1
1616577710160, 0.001841, -0.020949, 0.003349, -0.097226, 0.015054, 0.027374, 1
