timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1619683013642, -0.008493, 0.024747, 0.000872, 0.007616, -0.002299, -0.00754, 0
1619683013742, -0.000493, 0.015163, 0.004602, 0.000422, 0.116536, 0.032435, 0
1619683013842, 0.005081, 0.067413, -0.002478, -1.60547, 0.453105, -0.332248, 0
1619683013941, 0.037891, -0.049277, 0.021492, -1.017635, 0.149722, -0.167442, 0
1619683014041, 0.005588, -0.092018, 0.075153, -2.245901, 0.235174, 0.039228, 0
1619683014141, 0.027257, -0.001725, 0.008555, -1.082174, 0.041323, 0.118528, 0
1619683014240, 0.001435, -0.010631, 0.001641, 0.017906, 0.002179, 0.00092, 0
1619683014340, 0.004237, 0.026204, 0.008435, 0.133207, -0.021313, -0.005188, 0
1619683014440, 0.011043, -0.109466, 0.040666, -0.856586, 0.012624, 0.081399, 0
1619683014539, -0.01068, 0.043755, 0.001146, -0.039459, 0.001832, -0.010633, 0
1619683014639, 0.005968, -0.005068, 0.018122, 0.033488, -0.005103, 0.044759, 0
1619683014739, -0.005272, 0.043854, 0.026468, 0.066257, -0.017283, 0.003818, 0
1619683014839, 0.002002, 0.018796, 0.000085, 0.199623, -0.022625, -0.01899, 0
1619683014938, -0.002164, 0.007287, 0.007058, 0.188477, -0.011815, -0.029633, 0
1619683015038, 0.003989, 0.016209, -0.010584, 0.115263, -0.014505, 0.008345, 0
1619683015138, 0.002734, 0.002446, 0.008365, 0.270043, -0.013434, -0.067929, 0
1619683015237, 0.001176, -0.022183, 0.00197, 0.126264, -0.014227, -0.02726, 0
1619683015337, -0.001957, -0.026915, 0.015305, -0.024438, -0.003425, 0.008138, 0
1619683015437, -0.005044, -0.012461, 0.009117, 0.029385, 0.001016, -0.014918, 0
1619683015536, -0.002643, -0.003945, 0.00917, -0.015271, 0.005245, -0.001082, 0
1619683015636, -0.001298, -0.004748, 0.010937, -0.045952, -0.001166, 0.001008, 0
1619683015736, 0.00273, -0.005116, 0.005189, 0.040912, 0.000995, 0.005688, 0
1619683015835, -0.000676, 0.003149, 0.005804, 0.016509, -0.001407, 0.015744, 0
1619683015935, -0.002353, -0.002391, 0.005955, 0.022191, -0.002309, 0.001249, 0
1619683016035, -0.006001, 0.00021, 0.006741, 0.026926, 0.004326, 0.009361, 0
1619683016134, 0.000516, -0.011393, 0.005171, -0.256964, -0.007252, 0.083807, 0
1619683016234, -0.00176, -0.005516, 0.008147, -0.167878, 0.000565, 0.024398, 0
1619683016334, 0.000293, 0.004905, 0.006756, 0.009733, 0.002179, 0.014938, 0
1619683016433, -0.00088, 0.000115, 0.009983, 0.062037, -0.00214, -0.022536, 0
1619683016533, 0.000318, 0.003444, 0.007203, 0.037926, -0.003385, 0.000405, 0
1619683016633, 0.002044, -0.000669, 0.005012, 0.014569, 0.003257, 0.000736, 0
1619683016732, 0.000237, -0.002194, 0.008065, -0.007447, -0.003431, 0.007099, 0
1619683016832, -0.013003, 0.007174, 0.009136, -0.023909, 0.007281, -0.059635, 0
1619683016932, -0.012976, -0.026071, 0.012939, -0.692562, 0.037622, -0.000772, 0
1619683017031, -0.004356, -0.018279, 0.000892, -0.590765, 0.042083, 0.054017, 0
1619683017131, -0.018044, 0.042125, 0.014508, 0.056055, 0.065694, 0.057836, 0
1619683017231, -0.0064, 0.065244, 0.039715, 0.204274, 0.012568, 0.020611, 0
1619683017330, -0.011744, 0.091764, 0.047527, 0.112716, 0.014294, -0.039485, 0
1619683017430, 0.00085, 0.004296, 0.012027, -0.141254, -0.012862, 0.001162, 0
1619683017530, 0.011385, -0.051981, 0.011958, -0.178848, 0.022049, -0.044808, 0
1619683017629, 0.0021, 0.022007, 0.010057, -0.042601, 0.028658, -0.039646, 0
1619683017729, -0.000779, 0.025009, 0.008711, -0.008266, 0.011483, 0.006264, 0
1619683017829, 0.003696, 0.004261, 0.012202, 0.096744, -0.005615, 0.029322, 0
1619683017928, 0.001991, 0.001001, 0.011308, 0.15477, 0.004296, -0.010096, 0
1619683018028, -0.001926, 0.020716, 0.00717, 0.119533, -0.003108, 0.02674, 0
1619683018128, -0.001521, 0.004418, 0.010069, 0.017232, -0.014671, 0.006859, 0
1619683018227, -0.003053, 0.00346, 0.009525, 0.049219, -0.003904, 0.014041, 0
1619683018327, -0.000414, 0.006917, 0.008029, 0.072237, -0.003512, 0.010063, 0
1619683018427, 0.000298, 0.00061, 0.007463, 0.008333, -0.003686, 0.000702, 0
