timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1620398007828, -0.005903, -0.03135, -0.04881, 0.026485, -0.081904, -0.130097, 1
1620398007928, -0.018157, -0.027298, -0.035984, 0.102553, -0.084746, -0.058687, 1
1620398008029, -0.002548, -0.005231, -0.039758, -0.069548, 0.138911, 0.253985, 1
1620398008129, -0.05248, 0.055929, -0.146789, 0.223626, 0.584841, 0.107551, 1
1620398008230, 0.033708, 0.064594, -0.016568, 0.118071, -0.012221, 0.021306, 1
1620398008330, -0.006445, -0.007627, 0.032732, -0.007161, -0.006899, -0.036429, 1
1620398008431, -0.008839, -0.00363, -0.001854, -0.021818, 0.053476, 0.040021, 1
1620398008531, 0.009378, 0.013811, -0.004531, 0.035159, -0.00685, -0.006311, 1
1620398008632, -0.00626, -0.023235, 0.004862, 0.135012, -0.000179, 0.051411, 1
1620398008732, -0.005407, -0.001451, 0.008199, 0.066821, 0.025178, 0.031188, 1
1620398008833, -0.000466, -0.007442, -0.007007, 0.191723, 0.051629, 0.016311, 1
1620398008933, 0.006994, 0.016326, -0.005844, 0.281022, 0.041239, 0.035292, 1
1620398009034, 0.006586, 0.008348, -0.003504, 0.377881, 0.043186, 0.032531, 1
1620398009134, -0.005068, 0.046449, -0.021119, 0.736454, 0.105716, 0.015478, 1
1620398009235, 0.001477, -0.017308, -0.020305, 0.31016, 0.050502, 0.005061, 1
1620398009335, -0.003366, -0.01924, -0.012198, 0.137576, 0.029397, -0.008381, 1
1620398009436, 0.030402, -0.001141, -0.094625, 0.115975, -0.097273, -0.010864, 1
1620398009536, 0.130782, 0.006186, -0.183156, 0.682112, -0.922621, 0.134754, 1
1620398009636, 0.035867, -0.074739, -0.279064, 1.004677, -1.700578, 0.640597, 1
1620398009737, 0.482921, 0.01206, -0.16957, 1.472784, -2.197342, 0.608524, 1
1620398009837, -0.10489, -0.183358, 0.099313, -2.008802, -2.662673, 1.72055, 1
1620398009938, 0.253352, 0.321613, 0.156343, 0.914935, -3.13285, 1.145508, 1
1620398010038, 0.455131, 0.307132, 0.345172, 2.712116, -2.26352, -0.202411, 1
1620398010139, -0.7122, -0.289685, 0.42488, -0.069166, 0.459041, 0.36892, 1
1620398010239, -0.189867, -0.20341, 0.256432, -0.355157, 0.580516, 0.844021, 1
1620398010340, 0.060554, 0.212111, -0.436135, -1.598159, -0.027459, 0.449495, 1
1620398010440, 0.035277, -0.037574, 0.020988, -0.920751, -0.20313, -0.039198, 1
1620398010541, -0.002826, -0.00387, -0.041624, 0.413986, -0.170412, -0.054262, 1
1620398010641, -0.054121, -0.071783, 0.162982, 0.487488, -0.024887, -0.158858, 1
1620398010742, -0.003904, -0.042022, -0.052896, 0.053005, 0.012719, -0.072063, 1
1620398010842, 0.00635, 0.014274, -0.023732, 0.175787, 0.058874, -0.022833, 1
1620398010943, 0.004608, -0.015637, -0.018131, -0.064661, 0.014862, -0.024701, 1
1620398011043, 0.00414, -0.020776, -0.022414, -0.058601, -0.015011, -0.005407, 1
1620398011144, -0.004093, -0.010848, 0.000246, -0.031844, 0.000205, -0.008636, 1
1620398011244, -0.002418, -0.012339, -0.00373, 0.001309, 0.016924, 0.004883, 1
1620398011345, -0.002927, -0.007745, -0.008503, 0.023234, 0.008015, 0.004218, 1
1620398011445, -0.0033, -0.016898, -0.002207, -0.048994, -0.008491, 0.003236, 1
1620398011546, -0.002279, 0.004967, -0.002083, 0.024465, -0.002643, 0.006627, 1
1620398011646, -0.001215, -0.002321, -0.005195, 0.009592, -0.009693, 0.006323, 1
1620398011746, -0.002972, -0.001673, -0.000905, 0.01131, -0.001054, -0.002386, 1
1620398011847, -0.001647, -0.001608, -0.00053, 0.02196, 0.005873, 0.002066, 1
1620398011947, 0.0006, -0.001921, -0.000209, -0.006262, 0.002091, -0.000901, 1
1620398012048, -0.002537, -0.004846, -0.000471, -0.003636, 0.002484, -0.002171, 1
1620398012148, 0.001255, 0.000809, -0.003338, -0.019842, 0.006127, -0.008145, 1
1620398012249, -0.001178, -0.009878, 0.002803, -0.058083, 0.01599, -0.007246, 1
1620398012349, 0.029232, -0.008288, -0.112579, -2.303362, -0.586128, -0.118989, 1
1620398012450, 0.006462, 0.357209, 0.015202, 1.653653, 0.02826, -1.079248, 1
1620398012550, 0.082101, 0.16409, 0.175344, 0.418143, 0.386, -1.945855, 1
1620398012651, 0.02659, -0.009459, 0.214935, -0.856639, 1.190442, -1.773794, 1
1620398012751, 0.119158, -0.413907, 0.277728, -5.862872, 2.22601, -0.667356, 1
1620398012852, 0.199892, 0.609024, -0.184261, -2.888793, 2.097553, 1.017409, 1
1620398012952, 0.11059, -0.012441, -0.246934, -1.659037, 0.938492, 0.458755, 1
1620398013053, 0.013037, -0.031889, -0.160907, -0.563542, 0.125365, 0.054321, 1
1620398013153, 0.009635, -0.03128, -0.037618, 0.069685, -0.182884, -0.036971, 1
1620398013254, 0.004946, 0.016468, -0.003099, 0.030047, -0.238511, -0.102765, 1
1620398013354, -0.011795, -0.011252, 0.04065, 0.119355, -0.089644, -0.030899, 1
1620398013455, -0.010803, -0.018409, 0.02082, 0.136276, 0.029064, 0.088638, 1
1620398013555, 0.00436, 0.009379, -0.034725, -0.146795, -0.051366, 0.121958, 1
1620398013655, 0.007993, 0.010286, -0.02332, 0.010327, -0.139433, 0.108558, 1
1620398013756, 0.000208, 0.008679, -0.002282, 0.034396, -0.195022, 0.103129, 1
1620398013856, 0.000853, 0.008103, 0.007573, 0.111705, -0.164736, 0.065302, 1
1620398013957, -0.000876, -0.032398, 0.018204, 0.029416, -0.081697, 0.121587, 1
1620398014057, -0.005273, 0.023214, 0.021092, -0.053885, 0.011717, 0.06826, 1
1620398014158, 0.00326, 0.006636, -0.008687, -0.029139, 0.044021, 0.042982, 1
1620398014258, -0.002593, -0.007088, 0.003475, 0.158078, 0.052906, 0.025723, 1
1620398014359, -0.004306, -0.004575, -0.005866, 0.042109, 0.07113, 0.105355, 1
1620398014459, 0.002874, -0.006702, -0.009853, 0.052149, 0.042555, 0.142916, 1
1620398014560, -0.003306, -0.010754, 0.00351, 0.104852, 0.047668, 0.185498, 1
1620398014660, -0.002191, -0.03268, 0.021607, 0.171399, 0.121743, 0.266515, 1
1620398014761, 0.013453, 0.003663, -0.018223, 0.112716, 0.110382, 0.332232, 1
1620398014861, 0.001333, 0.101037, -0.013611, 0.181668, 0.076113, 0.081868, 1
1620398014962, 0.000025, 0.012926, -0.021992, 0.076023, -0.001811, -0.005206, 1
1620398015062, 0.011149, -0.004211, -0.007627, -0.017452, -0.049769, -0.078949, 1
1620398015163, 0.001717, 0.005387, -0.001115, 0.015038, -0.02217, -0.072337, 1
1620398015263, -0.000844, -0.012602, -0.003203, 0.073914, 0.039228, 0.089922, 1
1620398015364, -0.000589, 0.007738, -0.004029, -0.015216, 0.024239, 0.002165, 1
1620398015464, 0.018481, 0.017474, -0.008097, 0.197659, 0.070192, -0.015081, 1
1620398015565, -0.007199, 0.0242, -0.003951, -0.227732, 0.013599, -0.336275, 1
1620398015665, 0.01151, -0.018023, -0.010226, 0.100356, 0.03569, 0.022866, 1
1620398015765, -0.012012, -0.013045, 0.015284, 0.435322, 0.055069, -0.064737, 1
1620398015866, -0.013553, -0.012642, 0.013035, 0.101934, 0.083796, -0.00282, 1
1620398015966, 0.058044, 0.02066, -0.033294, -0.047216, -0.025727, 0.091655, 1
1620398016067, -0.110823, -0.177603, 0.036792, -0.200092, 0.367153, 1.314207, 1
1620398016167, 0.004766, -0.00511, -0.015307, -0.012449, 0.002112, -0.041408, 1
1620398016268, -0.007849, -0.006463, -0.021453, 0.107431, -0.090326, 0.09337, 1
1620398016368, 0.073929, -0.072314, -0.350392, -0.062332, -0.641808, 0.202947, 1
1620398016469, 0.138441, 0.058825, -0.16911, 0.579109, -1.963706, -0.135202, 1
1620398016569, 0.145169, -0.172301, 0.070416, 0.661604, -2.050747, 0.845902, 1
1620398016670, 0.011401, -0.071816, 0.188707, -0.246778, -1.28528, 0.952456, 1
1620398016770, 0.001555, 0.235622, 0.130288, 0.620447, -0.616254, 0.271531, 1
