timestamp, accel_x, accel_y, accel_z, gyro_x, gyro_y, gyro_z, right_hand
1626443669333, 0.004009, 0.017771, -0.071361, 0.095682, -0.032527, 0.010591, 0
1626443669432, -0.00444, -0.004082, 0.026433, 0.031, 0.004161, -0.000891, 0
1626443669531, 0.003518, 0.000507, -0.003076, -0.003896, -0.033769, -0.016543, 0
1626443669631, 0.005593, 0.005491, -0.013923, -0.004213, 0.00866, 0.018503, 0
1626443669730, -0.000473, 0.001609, 0.006234, 0.044557, 0.009, 0.025647, 0
1626443669829, 0.002172, 0.00148, 0.004497, 0.027212, 0.011703, 0.015209, 0
1626443669928, -0.002445, 0.004714, -0.013232, -0.038673, 0.027447, 0.024804, 0
1626443670028, -0.011352, -0.000692, 0.000595, 0.069585, 0.042178, 0.039748, 0
1626443670127, -0.071469, -0.033812, 0.053733, -0.019646, -0.012611, -0.137287, 0
1626443664268, 0.073409, 0.034399, -0.085104, -0.16497, -0.151127, -0.194171, 0
1626443664367, 0.051106, 0.047397, -0.088133, 0.043799, 0.005139, -0.011508, 0
1626443664466, -0.016709, -0.02944, 0.040667, 0.025304, 0.028192, -0.007992, 0
1626443664566, -0.014582, -0.017822, 0.037004, -0.081374, 0.055696, -0.020138, 0
1626443664665, 0.024224, 0.0121, -0.015964, 0.024269, 0.050387, -0.032708, 0
1626443664764, 0.024679, 0.003531, -0.002239, -0.040453, 0.088631, -0.009644, 0
1626443664864, 0.017402, 0.007136, -0.012749, -0.021282, 0.046694, -0.01055, 0
1626443664963, 0.00804, 0.001909, 0.001512, -0.032588, 0.063206, -0.009612, 0
1626443665062, -0.000015, 0.001791, -0.009843, 0.019012, 0.031463, 0.007342, 0
1626443665162, 0.006982, 0.005191, -0.011889, 0.014622, 0.007999, 0.009422, 0
1626443665261, -0.007501, -0.001532, -0.001627, 0.013754, 0.004943, 0.002531, 0
1626443665360, -0.003341, 0.000566, -0.012983, 0.006345, -0.002217, 0.006217, 0
1626443665460, 0.008058, 0.006819, -0.013072, 0.039751, -0.013705, 0.014784, 0
1626443665559, 0.013022, 0.006842, -0.002076, 0.071522, -0.087052, 0.051973, 0
1626443665658, 0.012041, 0.010912, -0.017525, 0.014834, -0.037088, 0.058327, 0
1626443665758, -0.010166, -0.001677, -0.010318, 0.044336, -0.040794, 0.041348, 0
1626443665857, 0.002654, -0.001684, -0.001556, 0.097657, -0.162742, 0.017964, 0
1626443665956, -0.000872, 0.000988, -0.022401, 0.163528, -0.218618, 0.00977, 0
1626443666055, 0.002641, -0.001741, 0.009208, 0.106637, -0.063909, 0.061306, 0
1626443666155, 0.040962, 0.013008, 0.072869, -0.334102, -0.000301, 0.150097, 0
